County name,State name,FIPS,Land area (sq. mi.),Years from college age,White,Black,Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Some Other Race,Two or More Races
,California,6,155779.22,0,154244,32378,56795,2323,1999,264746,1415,21105
,California,6,155779.22,1,149231,30912,55558,2218,1848,261515,1425,20605
,California,6,155779.22,2,144843,30246,53706,2126,1856,257768,1441,21271
,California,6,155779.22,3,143238,29633,51201,2086,1785,257415,1471,21175
,California,6,155779.22,4,141970,29303,52554,1979,1809,260524,1486,21727
,California,6,155779.22,5,139025,28268,55194,2104,1700,260321,1417,21636
,California,6,155779.22,6,134481,27145,50618,1900,1695,254752,1345,21615
,California,6,155779.22,7,134349,26588,52375,2008,1666,256398,1483,22163
,California,6,155779.22,8,135023,25823,53062,1912,1554,258357,1458,23229
,California,6,155779.22,9,133309,25737,53532,1948,1764,263330,1468,24087
,California,6,155779.22,10,132526,25987,51547,1952,1618,267454,1493,24331
,California,6,155779.22,11,132324,26451,51981,1900,1681,275649,1546,25079
,California,6,155779.22,12,129413,26576,53073,1905,1680,276292,1586,25477
,California,6,155779.22,13,126056,25776,49458,1817,1597,265939,1478,25633
,California,6,155779.22,14,125043,25062,48421,1882,1480,264572,1611,25987
Alameda County,California,6001,739.02,0,4511,2429,4552,40,200,5518,60,1232
Alameda County,California,6001,739.02,1,4376,2349,4391,53,184,5609,74,1233
Alameda County,California,6001,739.02,2,4222,2370,4321,52,201,5588,65,1276
Alameda County,California,6001,739.02,3,4101,2331,4251,41,171,5755,64,1214
Alameda County,California,6001,739.02,4,4207,2243,4420,32,160,5846,70,1258
Alameda County,California,6001,739.02,5,4265,2248,4778,32,149,5882,72,1341
Alameda County,California,6001,739.02,6,4172,2244,4437,37,140,5991,69,1364
Alameda County,California,6001,739.02,7,4062,2175,4764,51,146,6086,68,1425
Alameda County,California,6001,739.02,8,4388,2073,4820,43,142,6203,82,1497
Alameda County,California,6001,739.02,9,4169,2062,5008,43,169,6263,77,1509
Alameda County,California,6001,739.02,10,4219,1999,4714,53,153,6598,76,1573
Alameda County,California,6001,739.02,11,4208,2119,4751,48,177,6620,79,1653
Alameda County,California,6001,739.02,12,4172,2129,5021,42,164,6916,88,1636
Alameda County,California,6001,739.02,13,4193,2018,4601,55,157,6595,82,1733
Alameda County,California,6001,739.02,14,4068,2000,4536,64,131,6410,95,1706
Alpine County,California,6003,738.33,0,7,0,0,5,0,2,0,2
Alpine County,California,6003,738.33,1,7,0,0,2,0,4,0,0
Alpine County,California,6003,738.33,2,8,0,0,3,0,2,0,1
Alpine County,California,6003,738.33,3,7,0,0,5,0,0,0,0
Alpine County,California,6003,738.33,4,10,0,0,2,0,2,0,0
Alpine County,California,6003,738.33,5,12,0,0,3,0,1,0,0
Alpine County,California,6003,738.33,6,11,0,0,5,0,2,0,0
Alpine County,California,6003,738.33,7,13,0,0,6,0,1,0,0
Alpine County,California,6003,738.33,8,10,0,0,4,0,2,0,0
Alpine County,California,6003,738.33,9,5,0,0,3,0,2,0,0
Alpine County,California,6003,738.33,10,13,0,0,5,0,1,0,0
Alpine County,California,6003,738.33,11,9,0,0,1,0,6,0,0
Alpine County,California,6003,738.33,12,10,0,0,9,0,1,0,0
Alpine County,California,6003,738.33,13,3,0,0,4,0,4,0,0
Alpine County,California,6003,738.33,14,2,0,0,2,0,0,0,1
Amador County,California,6005,594.58,0,288,2,4,6,0,83,4,28
Amador County,California,6005,594.58,1,281,1,5,10,0,50,0,30
Amador County,California,6005,594.58,2,261,0,0,9,0,73,1,23
Amador County,California,6005,594.58,3,254,0,5,5,0,58,1,20
Amador County,California,6005,594.58,4,269,1,1,8,1,76,1,22
Amador County,California,6005,594.58,5,242,2,2,7,0,70,0,14
Amador County,California,6005,594.58,6,229,0,4,8,1,54,0,20
Amador County,California,6005,594.58,7,216,2,2,9,0,75,0,19
Amador County,California,6005,594.58,8,256,0,2,5,0,62,0,12
Amador County,California,6005,594.58,9,258,0,1,8,0,56,1,18
Amador County,California,6005,594.58,10,210,2,3,3,0,53,0,16
Amador County,California,6005,594.58,11,205,3,3,7,0,75,1,16
Amador County,California,6005,594.58,12,183,2,6,5,1,56,0,10
Amador County,California,6005,594.58,13,214,1,1,5,1,48,0,20
Amador County,California,6005,594.58,14,203,0,2,2,0,52,1,21
Butte County,California,6007,1636.46,0,1700,37,187,52,9,604,5,163
Butte County,California,6007,1636.46,1,1602,44,210,52,4,565,4,135
Butte County,California,6007,1636.46,2,1544,36,153,52,9,559,5,125
Butte County,California,6007,1636.46,3,1521,47,152,62,3,587,5,153
Butte County,California,6007,1636.46,4,1528,37,168,43,12,571,7,159
Butte County,California,6007,1636.46,5,1528,39,135,61,8,603,7,174
Butte County,California,6007,1636.46,6,1469,38,131,57,7,599,6,173
Butte County,California,6007,1636.46,7,1521,35,139,48,7,579,5,135
Butte County,California,6007,1636.46,8,1525,37,127,57,8,589,3,165
Butte County,California,6007,1636.46,9,1426,37,138,62,3,599,5,154
Butte County,California,6007,1636.46,10,1464,46,124,43,4,687,5,139
Butte County,California,6007,1636.46,11,1517,41,136,40,5,635,5,196
Butte County,California,6007,1636.46,12,1433,35,135,49,4,616,7,183
Butte County,California,6007,1636.46,13,1400,40,127,46,3,630,2,192
Butte County,California,6007,1636.46,14,1412,27,149,40,4,619,5,164
Calaveras County,California,6009,1020.01,0,421,6,13,6,1,100,2,25
Calaveras County,California,6009,1020.01,1,440,5,7,5,0,93,1,27
Calaveras County,California,6009,1020.01,2,420,7,6,4,0,100,1,27
Calaveras County,California,6009,1020.01,3,402,4,9,7,1,87,1,23
Calaveras County,California,6009,1020.01,4,389,5,7,3,0,99,0,16
Calaveras County,California,6009,1020.01,5,365,8,8,4,2,80,2,30
Calaveras County,California,6009,1020.01,6,333,3,7,4,0,79,2,30
Calaveras County,California,6009,1020.01,7,301,2,7,8,0,99,0,26
Calaveras County,California,6009,1020.01,8,301,4,5,5,0,81,0,20
Calaveras County,California,6009,1020.01,9,307,6,4,2,0,80,1,23
Calaveras County,California,6009,1020.01,10,298,4,1,7,0,72,0,21
Calaveras County,California,6009,1020.01,11,335,3,1,3,0,71,2,18
Calaveras County,California,6009,1020.01,12,303,5,3,5,1,75,1,21
Calaveras County,California,6009,1020.01,13,282,1,2,6,0,60,1,22
Calaveras County,California,6009,1020.01,14,278,0,3,5,0,65,0,17
Colusa County,California,6011,1150.73,0,87,3,5,13,0,230,0,9
Colusa County,California,6011,1150.73,1,85,1,3,4,0,212,0,1
Colusa County,California,6011,1150.73,2,82,5,4,9,0,241,0,9
Colusa County,California,6011,1150.73,3,110,0,3,3,0,219,0,4
Colusa County,California,6011,1150.73,4,86,3,4,4,1,243,0,9
Colusa County,California,6011,1150.73,5,100,3,1,4,0,253,0,4
Colusa County,California,6011,1150.73,6,95,3,5,6,0,232,1,9
Colusa County,California,6011,1150.73,7,88,1,1,6,0,221,1,2
Colusa County,California,6011,1150.73,8,85,4,3,6,0,235,0,7
Colusa County,California,6011,1150.73,9,82,2,4,7,0,257,0,5
Colusa County,California,6011,1150.73,10,79,0,1,7,1,271,1,7
Colusa County,California,6011,1150.73,11,70,2,0,4,0,299,0,2
Colusa County,California,6011,1150.73,12,83,2,3,7,0,304,1,5
Colusa County,California,6011,1150.73,13,63,2,4,6,0,270,0,6
Colusa County,California,6011,1150.73,14,63,0,3,9,1,258,2,5
Contra Costa County,California,6013,715.94,0,6024,1523,1862,38,74,4659,55,1003
Contra Costa County,California,6013,715.94,1,5702,1469,1868,32,71,4774,60,1031
Contra Costa County,California,6013,715.94,2,5540,1444,1864,37,63,4782,49,1006
Contra Costa County,California,6013,715.94,3,5532,1431,1743,30,57,4680,66,1044
Contra Costa County,California,6013,715.94,4,5498,1432,1838,37,59,4826,66,1075
Contra Costa County,California,6013,715.94,5,5318,1379,1984,34,69,4906,56,1032
Contra Costa County,California,6013,715.94,6,5159,1329,1875,31,53,4868,44,1084
Contra Costa County,California,6013,715.94,7,5143,1240,1921,31,48,4885,62,1032
Contra Costa County,California,6013,715.94,8,5057,1264,1879,36,61,4966,45,1119
Contra Costa County,California,6013,715.94,9,4916,1217,1866,37,47,5046,68,1078
Contra Costa County,California,6013,715.94,10,4653,1184,1855,39,51,5001,62,1081
Contra Costa County,California,6013,715.94,11,4541,1253,1837,21,64,5373,58,1122
Contra Costa County,California,6013,715.94,12,4253,1174,1708,32,58,5168,66,1127
Contra Costa County,California,6013,715.94,13,3990,1186,1557,19,56,4842,52,1062
Contra Costa County,California,6013,715.94,14,3833,1033,1494,24,48,4916,66,1059
Del Norte County,California,6015,1006.37,0,188,2,27,31,0,64,2,14
Del Norte County,California,6015,1006.37,1,223,0,27,38,1,70,1,16
Del Norte County,California,6015,1006.37,2,197,5,23,31,0,76,1,26
Del Norte County,California,6015,1006.37,3,171,0,15,38,0,68,0,19
Del Norte County,California,6015,1006.37,4,184,1,17,45,0,76,0,21
Del Norte County,California,6015,1006.37,5,195,0,18,35,0,79,1,26
Del Norte County,California,6015,1006.37,6,181,0,17,27,0,75,0,25
Del Norte County,California,6015,1006.37,7,144,1,11,35,0,75,1,25
Del Norte County,California,6015,1006.37,8,162,3,24,29,0,73,0,25
Del Norte County,California,6015,1006.37,9,141,3,21,28,0,70,0,17
Del Norte County,California,6015,1006.37,10,185,1,16,44,0,69,2,20
Del Norte County,California,6015,1006.37,11,216,1,16,36,0,98,1,26
Del Norte County,California,6015,1006.37,12,169,1,17,47,0,74,0,27
Del Norte County,California,6015,1006.37,13,162,1,25,35,0,70,0,18
Del Norte County,California,6015,1006.37,14,166,1,16,26,0,92,1,24
El Dorado County,California,6017,1707.88,0,1878,28,90,31,1,454,10,112
El Dorado County,California,6017,1707.88,1,1822,26,87,29,8,460,6,116
El Dorado County,California,6017,1707.88,2,1734,27,86,17,3,462,8,119
El Dorado County,California,6017,1707.88,3,1693,26,86,14,2,412,6,130
El Dorado County,California,6017,1707.88,4,1737,25,97,30,4,494,9,127
El Dorado County,California,6017,1707.88,5,1600,18,103,21,1,432,5,126
El Dorado County,California,6017,1707.88,6,1549,20,90,28,4,416,8,117
El Dorado County,California,6017,1707.88,7,1593,16,81,12,3,443,6,110
El Dorado County,California,6017,1707.88,8,1532,16,85,10,1,436,3,118
El Dorado County,California,6017,1707.88,9,1412,8,93,17,4,461,3,125
El Dorado County,California,6017,1707.88,10,1408,8,81,17,4,479,2,105
El Dorado County,California,6017,1707.88,11,1390,15,64,15,3,485,5,114
El Dorado County,California,6017,1707.88,12,1239,18,55,17,1,454,2,97
El Dorado County,California,6017,1707.88,13,1183,4,50,16,2,452,1,91
El Dorado County,California,6017,1707.88,14,1068,14,49,12,3,396,3,91
Fresno County,California,6019,5957.99,0,3426,819,1644,83,19,8922,31,366
Fresno County,California,6019,5957.99,1,3193,771,1505,94,10,9061,24,404
Fresno County,California,6019,5957.99,2,3182,768,1381,80,15,9119,38,362
Fresno County,California,6019,5957.99,3,3191,733,1378,85,15,9146,24,415
Fresno County,California,6019,5957.99,4,3147,751,1396,77,15,9265,32,422
Fresno County,California,6019,5957.99,5,2958,754,1392,92,15,9303,27,386
Fresno County,California,6019,5957.99,6,2957,697,1331,79,16,9161,27,363
Fresno County,California,6019,5957.99,7,2869,707,1336,83,6,9458,25,403
Fresno County,California,6019,5957.99,8,2917,703,1323,79,14,9694,28,413
Fresno County,California,6019,5957.99,9,2860,692,1382,80,8,9937,33,432
Fresno County,California,6019,5957.99,10,2895,668,1349,88,21,10073,29,452
Fresno County,California,6019,5957.99,11,2856,725,1409,75,19,10499,44,449
Fresno County,California,6019,5957.99,12,2899,771,1414,86,19,10723,33,434
Fresno County,California,6019,5957.99,13,2741,709,1311,72,13,10024,35,446
Fresno County,California,6019,5957.99,14,2703,723,1353,82,14,10153,49,522
Glenn County,California,6021,1313.95,0,222,3,11,7,0,215,0,7
Glenn County,California,6021,1313.95,1,192,6,8,5,1,223,1,4
Glenn County,California,6021,1313.95,2,183,4,13,3,0,246,1,8
Glenn County,California,6021,1313.95,3,176,1,10,6,1,221,0,6
Glenn County,California,6021,1313.95,4,198,6,14,4,0,208,1,12
Glenn County,California,6021,1313.95,5,176,1,11,8,0,227,0,12
Glenn County,California,6021,1313.95,6,188,0,8,7,0,217,1,10
Glenn County,California,6021,1313.95,7,168,1,17,12,0,200,1,10
Glenn County,California,6021,1313.95,8,164,1,16,12,0,207,1,14
Glenn County,California,6021,1313.95,9,168,4,13,12,0,219,1,8
Glenn County,California,6021,1313.95,10,189,2,8,7,0,245,1,15
Glenn County,California,6021,1313.95,11,154,3,5,7,1,219,1,13
Glenn County,California,6021,1313.95,12,175,5,10,5,0,220,1,18
Glenn County,California,6021,1313.95,13,167,3,10,6,0,251,0,11
Glenn County,California,6021,1313.95,14,149,3,7,8,1,243,0,15
Humboldt County,California,6023,3567.99,0,921,15,43,124,5,197,1,114
Humboldt County,California,6023,3567.99,1,953,7,42,118,4,215,0,116
Humboldt County,California,6023,3567.99,2,965,20,37,121,5,238,5,111
Humboldt County,California,6023,3567.99,3,938,11,48,109,2,256,6,116
Humboldt County,California,6023,3567.99,4,877,16,34,112,4,219,4,113
Humboldt County,California,6023,3567.99,5,925,11,39,128,1,250,7,103
Humboldt County,California,6023,3567.99,6,929,14,36,112,8,268,9,127
Humboldt County,California,6023,3567.99,7,861,14,40,130,9,253,3,84
Humboldt County,California,6023,3567.99,8,918,13,49,107,5,232,5,111
Humboldt County,California,6023,3567.99,9,908,13,54,141,12,257,4,134
Humboldt County,California,6023,3567.99,10,962,20,30,127,3,254,6,122
Humboldt County,California,6023,3567.99,11,1019,14,29,151,4,307,4,135
Humboldt County,California,6023,3567.99,12,913,11,41,112,6,298,3,127
Humboldt County,California,6023,3567.99,13,911,18,37,123,5,321,5,101
Humboldt County,California,6023,3567.99,14,966,13,26,101,3,271,4,135
Imperial County,California,6025,4176.6,0,227,26,32,28,1,2570,6,21
Imperial County,California,6025,4176.6,1,227,23,34,32,0,2613,5,21
Imperial County,California,6025,4176.6,2,215,34,29,31,1,2558,1,23
Imperial County,California,6025,4176.6,3,206,15,29,33,0,2536,2,24
Imperial County,California,6025,4176.6,4,220,22,33,29,1,2606,3,19
Imperial County,California,6025,4176.6,5,209,22,30,25,0,2447,4,22
Imperial County,California,6025,4176.6,6,204,32,30,23,0,2373,3,14
Imperial County,California,6025,4176.6,7,217,21,17,32,0,2504,1,24
Imperial County,California,6025,4176.6,8,199,21,19,25,0,2464,2,24
Imperial County,California,6025,4176.6,9,221,21,30,33,1,2498,4,25
Imperial County,California,6025,4176.6,10,220,30,19,27,0,2369,0,19
Imperial County,California,6025,4176.6,11,205,31,20,24,1,2413,2,28
Imperial County,California,6025,4176.6,12,203,21,22,35,1,2440,1,17
Imperial County,California,6025,4176.6,13,202,25,14,29,0,2465,5,25
Imperial County,California,6025,4176.6,14,180,18,19,25,1,2351,2,17
Inyo County,California,6027,10180.88,0,107,2,2,32,0,89,1,16
Inyo County,California,6027,10180.88,1,125,2,1,34,0,76,1,14
Inyo County,California,6027,10180.88,2,101,2,2,29,0,61,0,7
Inyo County,California,6027,10180.88,3,104,1,2,28,0,74,0,4
Inyo County,California,6027,10180.88,4,107,4,3,16,0,78,1,8
Inyo County,California,6027,10180.88,5,87,0,4,18,0,66,1,11
Inyo County,California,6027,10180.88,6,76,1,4,32,0,82,0,7
Inyo County,California,6027,10180.88,7,78,1,0,28,0,69,0,5
Inyo County,California,6027,10180.88,8,70,0,4,40,0,72,0,8
Inyo County,California,6027,10180.88,9,89,0,0,26,1,98,0,7
Inyo County,California,6027,10180.88,10,89,0,2,35,0,76,0,4
Inyo County,California,6027,10180.88,11,81,1,1,22,0,99,0,5
Inyo County,California,6027,10180.88,12,86,0,0,32,0,75,0,8
Inyo County,California,6027,10180.88,13,103,1,2,37,0,82,0,2
Inyo County,California,6027,10180.88,14,90,1,2,30,0,88,0,16
Kern County,California,6029,8131.92,0,3870,731,489,95,22,8220,32,365
Kern County,California,6029,8131.92,1,3742,713,519,79,22,8341,15,335
Kern County,California,6029,8131.92,2,3793,674,454,91,17,8173,27,345
Kern County,California,6029,8131.92,3,3773,681,449,96,18,8272,23,360
Kern County,California,6029,8131.92,4,3662,641,449,78,19,8387,24,377
Kern County,California,6029,8131.92,5,3564,729,479,82,11,8617,22,359
Kern County,California,6029,8131.92,6,3523,670,413,68,7,8310,25,331
Kern County,California,6029,8131.92,7,3506,685,438,74,21,8520,28,351
Kern County,California,6029,8131.92,8,3507,660,457,62,6,8701,21,386
Kern County,California,6029,8131.92,9,3594,696,407,69,12,8861,20,402
Kern County,California,6029,8131.92,10,3639,713,401,61,9,9131,22,415
Kern County,California,6029,8131.92,11,3673,723,382,67,12,9429,27,397
Kern County,California,6029,8131.92,12,3630,703,435,57,9,9477,31,418
Kern County,California,6029,8131.92,13,3520,747,371,62,12,9230,30,451
Kern County,California,6029,8131.92,14,3616,706,405,67,11,9289,32,475
Kings County,California,6031,1389.42,0,601,105,63,20,4,1367,9,69
Kings County,California,6031,1389.42,1,615,97,65,21,4,1418,2,80
Kings County,California,6031,1389.42,2,536,96,77,22,2,1443,4,81
Kings County,California,6031,1389.42,3,585,90,58,26,0,1444,4,84
Kings County,California,6031,1389.42,4,572,107,59,25,3,1380,3,83
Kings County,California,6031,1389.42,5,529,75,62,32,1,1487,3,84
Kings County,California,6031,1389.42,6,557,78,67,19,5,1455,2,72
Kings County,California,6031,1389.42,7,597,100,67,24,3,1425,4,80
Kings County,California,6031,1389.42,8,557,81,56,20,2,1494,4,78
Kings County,California,6031,1389.42,9,582,75,63,22,3,1582,7,110
Kings County,California,6031,1389.42,10,585,98,62,21,3,1554,2,91
Kings County,California,6031,1389.42,11,636,83,68,14,6,1740,3,129
Kings County,California,6031,1389.42,12,628,93,76,20,3,1723,5,120
Kings County,California,6031,1389.42,13,616,78,47,15,5,1632,2,128
Kings County,California,6031,1389.42,14,629,84,49,33,0,1676,4,116
Lake County,California,6033,1256.46,0,509,11,5,27,0,236,0,43
Lake County,California,6033,1256.46,1,490,10,6,33,0,222,1,37
Lake County,California,6033,1256.46,2,446,13,8,22,1,222,0,33
Lake County,California,6033,1256.46,3,444,7,9,22,0,210,3,38
Lake County,California,6033,1256.46,4,458,15,2,31,0,230,1,43
Lake County,California,6033,1256.46,5,402,11,4,22,1,231,1,27
Lake County,California,6033,1256.46,6,418,12,10,26,0,243,2,31
Lake County,California,6033,1256.46,7,403,10,2,23,3,210,0,33
Lake County,California,6033,1256.46,8,390,4,5,25,1,234,1,40
Lake County,California,6033,1256.46,9,409,9,7,28,1,246,3,46
Lake County,California,6033,1256.46,10,402,7,8,22,3,245,1,51
Lake County,California,6033,1256.46,11,404,3,4,34,0,233,2,33
Lake County,California,6033,1256.46,12,402,14,8,22,3,264,1,44
Lake County,California,6033,1256.46,13,381,11,7,19,1,230,1,47
Lake County,California,6033,1256.46,14,383,11,4,24,1,262,1,40
Lassen County,California,6035,4541.18,0,265,4,3,11,0,61,1,23
Lassen County,California,6035,4541.18,1,282,5,2,11,0,65,1,20
Lassen County,California,6035,4541.18,2,285,2,3,10,2,60,0,25
Lassen County,California,6035,4541.18,3,269,4,4,18,3,58,1,13
Lassen County,California,6035,4541.18,4,249,3,4,11,7,53,0,15
Lassen County,California,6035,4541.18,5,240,4,0,24,5,47,0,16
Lassen County,California,6035,4541.18,6,212,3,6,11,1,69,0,12
Lassen County,California,6035,4541.18,7,243,1,4,7,1,51,0,24
Lassen County,California,6035,4541.18,8,206,6,2,10,3,56,0,24
Lassen County,California,6035,4541.18,9,218,6,1,14,5,45,0,18
Lassen County,California,6035,4541.18,10,236,4,5,7,1,55,0,15
Lassen County,California,6035,4541.18,11,210,5,2,22,1,57,0,15
Lassen County,California,6035,4541.18,12,221,5,4,6,3,52,0,22
Lassen County,California,6035,4541.18,13,211,4,1,11,2,72,0,28
Lassen County,California,6035,4541.18,14,231,5,6,12,1,76,0,17
Los Angeles County,California,6037,4057.88,0,24639,11783,14579,216,337,87079,473,3625
Los Angeles County,California,6037,4057.88,1,23384,11156,13980,221,312,84681,461,3604
Los Angeles County,California,6037,4057.88,2,23162,10834,13253,201,338,82767,460,3684
Los Angeles County,California,6037,4057.88,3,22843,10635,12236,174,329,81177,431,3678
Los Angeles County,California,6037,4057.88,4,22477,10638,12513,175,355,81745,464,3746
Los Angeles County,California,6037,4057.88,5,22034,10156,12693,203,301,80931,441,3706
Los Angeles County,California,6037,4057.88,6,21325,9582,11355,171,298,78557,422,3735
Los Angeles County,California,6037,4057.88,7,21310,9334,11690,179,278,78052,445,3796
Los Angeles County,California,6037,4057.88,8,21583,9246,11540,162,281,78468,425,4028
Los Angeles County,California,6037,4057.88,9,21578,9136,11582,172,332,79548,467,4148
Los Angeles County,California,6037,4057.88,10,21393,9160,11000,192,297,80505,469,4163
Los Angeles County,California,6037,4057.88,11,21559,9186,11161,165,279,83331,496,4382
Los Angeles County,California,6037,4057.88,12,21383,9330,11778,169,288,83778,484,4672
